doc_id,questions,category,brand
0,What are the material and comfort features of the Solid Men Multicolor Track Pants by York?,Clothing and Accessories,York
0,Is the Solid Men Multicolor Track Pants by York suitable for year-round use?,Clothing and Accessories,York
1,What materials are used to make the Solid Men Blue Track Pants by York?,Clothing and Accessories,York
1,Is the waistband of the Yorker track pants designed to be comfortable for all-day wear?,Clothing and Accessories,York
2,What material is used in the York Solid Men Multicolor Track Pants and how does it enhance comfort?,Clothing and Accessories,York
2,"Is the waistband of the York trackpants itch-free, and are they suitable for all-year-round use?",Clothing and Accessories,York
3,What materials are used in the Yorker Solid Men Multicolor Track Pants?,Clothing and Accessories,York
3,Are the Yorker track pants comfortable for all-year round use?,Clothing and Accessories,York
4,"What materials are used in the York Solid Men Brown, Grey Track Pants and how do they contribute to comfort?",Clothing and Accessories,York
4,"Can you tell me about the sizing options available for the York Solid Men Brown, Grey Track Pants?",Clothing and Accessories,York
5,What materials are used in the Solid Men Multicolor Track Pants by York?,Clothing and Accessories,York
5,Is the skin-friendly fabric of the York Solid Men Multicolor Track Pants suitable for all year round use?,Clothing and Accessories,York
6,What materials are used in the York Solid Men Dark Blue Track Pants and how do they contribute to comfort?,Clothing and Accessories,York
6,Is the York Solid Men Dark Blue Track Pants suitable for year-round use?,Clothing and Accessories,York
7,What materials are used in the construction of the York Solid Men Beige Track Pants?,Clothing and Accessories,York
7,Is the York Solid Men Beige Track Pants suitable for year-round use?,Clothing and Accessories,York
8,What material are the Solid Men Black Track Pants by York made from?,Clothing and Accessories,York
8,Is the waistband of the Yorker trackpants itch-free and comfortable for all-year-round use?,Clothing and Accessories,York
9,What material are the Yorker Solid Men Grey Track Pants made from and how does it contribute to their comfort?,Clothing and Accessories,York
9,Are the Yorker Solid Men Grey Track Pants suitable for year-round wear?,Clothing and Accessories,York
10,What material are the York checkered men's track pants made of?,Clothing and Accessories,York
10,Is the itch-free waistband on the York track pants suitable for all-year-round use?,Clothing and Accessories,York
11,What is the average rating for the York Solid Men Multicolor Track Pants?,Clothing and Accessories,York
11,Are the York Solid Men Multicolor Track Pants currently in stock?,Clothing and Accessories,York
12,What is the average rating of the Solid Men Multicolor Track Pants by York?,Clothing and Accessories,York
12,Are the Solid Men Multicolor Track Pants by York currently in stock?,Clothing and Accessories,York
13,What is the average rating of the York Self Design Men Multicolor Track Pants?,Clothing and Accessories,York
13,Is the York Self Design Men Multicolor Track Pants currently in stock?,Clothing and Accessories,York
14,What is the average rating of the York Self Design Men Multicolor Track Pants?,Clothing and Accessories,York
14,Is the York Self Design Men Multicolor Track Pants currently in stock?,Clothing and Accessories,York
15,What is the average rating of the Solid Men Multicolor Track Pants by York?,Clothing and Accessories,York
15,Is the Solid Men Multicolor Track Pants currently in stock on Flipkart?,Clothing and Accessories,York
16,What is the average rating of the Self Design Men Multicolor Track Pants by York?,Clothing and Accessories,York
16,Is the Self Design Men Multicolor Track Pants currently in stock?,Clothing and Accessories,York
17,What is the average rating of the Self Design Men Multicolor Track Pants by York?,Clothing and Accessories,York
17,Is the Self Design Men Multicolor Track Pants currently in stock?,Clothing and Accessories,York
18,What is the average rating of the York Self Design Men Multicolor Track Pants?,Clothing and Accessories,York
18,Is the York Self Design Men Multicolor Track Pants currently in stock?,Clothing and Accessories,York
19,What materials are used in the York Solid Men Multicolor Track Pants for comfort and skin-friendliness?,Clothing and Accessories,York
19,Is the York Solid Men Multicolor Track Pants available for purchase right now?,Clothing and Accessories,York
